Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source
1983.06.20,20-Jun-83,1983,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing & dangling foot in water amid baitfish,M,21,Left foot lacerated,N,16h30,,"Miami Herald, 6/22/1983, p.2B"
1983.05.31,31-May-83,1983,Unprovoked,USA,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County",Water-skiing,M,21,"Left calf, knee & hands lacerated",N,Dusk,6' shark,"E. Pace; Miami Herald, 6/2/1983, p.10A"
1983.05.24,24-May-83,1983,Unprovoked,USA,Florida," Riviera Beach, Palm Beach County",Surfing,M,15,"Knocked off board by shark, no injury",N,,,"E. Pace, FSAF"
1983.05.21,21-May-83,1983,Unprovoked,USA,Florida,"Haulover Inlet, Dade County",Surfing,M,22,Right foot bitten,N,14h00,,"The Palm Beach Post, 3/15/1989;  Miami Herald, 5/22/1983 & 3/15/1989"
1983.04.19,19-Apr-83,1983,Unprovoked,USA,Florida,,Surfing,M,,No details,UNKNOWN,,,"M. Vorenberg, GSAF"
1983.04.12,12-Apr-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Fishing,M,27,Puncture wounds to foot,N,19h30,"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)","R. Horn, East London Aquarium; Natal Witness, 4/14/1983"
1983.04.02.b,02-Apr-83,1983,Unprovoked,USA,Florida,"Lake Worth Beach, Palm Beach County",Surfing,M,16,Left foot bitten,N,11h00,,"Miami Herald, 4/3/1983, p.2D"
1983.04.02.a,02-Apr-83,1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,Mpande,,M,,Survived,N,,,"Unverified report, NSB"
1983.03.30.a,30-Mar-83,1983,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Spearfishing,M,17,Right calf lacerated,N,11h15,1.8 m [6'] Zambezi shark,"W. Johnson, M. Levine, GSAF; G. Charter, B. Davis, G. Cliff, NSB; T. Wallett, pp.65-66"
1983.03.22,22-Mar-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,,"No injury, board bitten",N,12h30,Blacktip or spinner shark,"G. Cliff, NSB"
1983.03.10,10-Mar-83,1983,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,,"Shark nudged board, no injury",N,,,"M. Vorenberg, GSAF"
1983.02.20,20-Feb-83,1983,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Paddleskiing,M,16,Puncture wounds to buttocks,N,12h30,3 m [10'] shark,"G. Charter, B. Davis & G. Cliff; Natal Mercury 2/22/1983"
1983.01.24,24-Jan-83,1983,Provoked,USA,South Carolina,60 miles southeast of Beaufort,Fishing,M,43,Leg bitten by captive shark PROVOKED INCIDENT,N,,,"Wilmington MorningStar, 1/25/1983"
1983.01.15,15-Jan-83,1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,,M,,FATAL,Y,,,"G. Cliff & B. Davis, NSB"
1983.01.10,10-Jan-83,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Windsurfing,M,22,Left foot lacerated,N,18h15,,"Mrs. Crewe, B. Lipschitz, M. Levine, GSAF"
1983.01.08,08-Jan-83,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,Holbaai,Spearfishing,M,32,"No injury, rammed by shark",N,13h00,White shark,"P. deBruyn, M. Levine, GSAF"
1982.11.00,Nov-82,1982,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",In waist-deep water,M,,Arm bitten,N,,, F. Schwartz
1982.10.13,13-Oct-82,1982,Unprovoked,USA,Florida,North Dade- Interama area of Biscayne Bay,Windsurfing,M,26,Left foot lacerated,N,11h00,1.5 m [5'] shark,"P. Hamm, Miami Herald, 10/15/1982"
1982.09.30.b,30-Sep-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,16,"No injury, pressure ding on surfboard",N,16h00,,"R. Horn, E.L. Aquarium"
1982.09.30.a,30-Sep-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,16,"No Injury, surfboard bitten",N,14h50,"Believed to involve a 2.8 m [9'3""] white shark","M. Levine, GSAF; R. Horn, E.L. Aquarium; T. Wallett, p.46-47"
1982.09.27,27-Sep-82,1982,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,M,20,Laceration to lower left leg,N,13h30,1.5 m [5'] shark,"Miami Herald, 9/28/1982"
1982.09.25,25-Sep-82,1982,Unprovoked,USA,California,"Monastery Beach, Carmel Bay, Monterey County",Diving,M,36,Lacerations to hand,N,Morning,White shark,R. Collier
1982.09.19,19-Sep-82,1982,Unprovoked,USA,California,"Bear Harbor, Mendocino County",Free diving for abalone from Zodiac (submerged),M,28,Upper left thigh & buttocks bitten,N,14h30,5 m to 6 m [16.5' to 20'] white shark,"R.N. Lea & D. Miller; Herder, p. 1-3; R. Collier, pp.89-91; A. MacCormick, pp.80-81"
1982.09.04,04-Sep-82,1982,Invalid,USA,Florida,"Hollywood Beach, Broward County",,M,mid-20s,"Remains recovered from shark, but shark involvement prior to death unknown",Y,,"Tiger shark, 2.7 m [9'5""], 364-lb","Z. Arocha, Miami Herald, 9/5/1982"
1982.08.29.b,29-Aug-82,1982,Invalid,USA,California,"Morro Rock, Morro Bay, San Obispo County",Surfing,M,17,"No Injury, board bitten",N,10h20,Questionable incident; reported as shark attack but thought to involve a pinniped instead ,"R.N. Lea & D. Miller; R. Collier, pp.87-89      "
1982.08.29.a,29-Aug-82,1982,Unprovoked,SOUTH AFRICA,Western Cape Province,Langebaan,Swimming,F,18,"Left knee, lower leg & foot bitten",N,12h00,,"V. Keet, M. Levine, GSAF"
1982.07.31,31-Jul-82,1982,Invalid,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Boogie boarding,M,20,"No injury, swim fin bitten",N,16h00,,"M. Levine, GSAF"
1982.07.24.b,24-Jul-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Paddleskiing,M,38,"No injury, ski bitten",N,16h00,"2.4 m [8'] white shark, species identity confirmed by tooth fragment","B. Plumb, M. Levine, GSAF; R. Horn, E.L. Aquarium; T. Wallett, p.46"
1982.07.24.a,24-Jul-82,1982,Unprovoked,USA,California,"Point Buchon, San Luis Obispo County",Paddle Boarding,M,26,"No Injury, board bitten",N,11h00,4.5 m to 5.5 m [14.7' to 18'] white shark,"R.N. Lea & D. Miller; R. Collier, pp.86-87; G. Ambrose, pp.113-120"
1982.07.19,19-Jul-82,1982,Unprovoked,USA,Florida,"Stuart Beach, Martin County ",Swimming,M,17,Left ankle bitten,N,Late afternoon,0.9 m to 1.2 m [3' to 4'] shark,"Miami Herald, 7/21/1982, p.1D"
1982.07.11, 11-Jul-1982,1982,Invalid,USA,California,"Malibu, Los Angeles County",Swimming,M,43,Laceration to left thigh,N,,"Reported as a shark attack, the story was a hoax","Chronicle Telegram, 7/12/1982, p.A4; Daily Herald , 7/13/1982"
1982.07.01,01-Jul-82,1982,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Swimming,F,19,Laceration to left leg,N,14h30,,"Daytona Beach Morning Journal, 7/2/1982"
1982.06.29,29-Jun-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyana Bay,Surfing,M,27,FATAL,Y,09h30,"2.4 m [8'] white shark, species identity confirmed by witnesses & tooth pattern in surfboard","M. Levine, GSAF; R.B. Wilson, B. Davis, NSB; T. Wallett, p.46"
1982.06.26.b,26-Jun-82,1982,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,20,Left arm bitten,N,16h30,5' shark,"Chillicothe Constitution Tribune, 6/30/1982"
1982.06.25,  25-Jun-1982,1982,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",,F,8,Foot bitten,N,11h00,,"Wellsboro Gazette, 6/30/1982"
1982.06.13,13-Jun-82,1982,Unprovoked,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui","Sailboarding, fell into water 100 yards outside the breakwater",M,,Thigh bitten 3 times,N,,"1.2 m to 1.5 m [4' to 5'] ""reef shark""","J. Borg, p.76; L. Taylor (1993), pp.106-107; Windsurfing Magazine, Sept/Oct 1993"
1982.05.00,May-82,1982,Invalid,USA,South Carolina,"Daws Island, Broad River (near Beaufort)",,F,Ca. 33,Human remains recovered,Y,,Tiger shark,"Clay Creswell, GSAF"
1982.03.10,10-Mar-82,1982,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,16,Elbow bitten,N,14h00,,"M. Vorenberg, GSAF"
1982.03.07,07-Mar-82,1982,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,20,Legs bitten  FATAL,Y,12h00,,"A. Sharpe, pp.4, 86-87"
1982.02.27,27-Feb-82,1982,Unprovoked,USA,Florida,"Hobe Sound, Palm Beach County",Surfing,M,18,Lacerations to left hand and forearm,N,,4' to 5' shark,"Palm Beach Post, 3/2/1982   "
1982.02.17,17-Feb-82,1982,Provoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Fishing,M,,Leg bitten above ankle by hooked shark taken aboard skiboat PROVOKED INCIDENT,N,,,"Mossel Bay Advertiser, 2/19/1982"
1982.02.14.b,14-Feb-82,1982,Unprovoked,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",Wading,F,,Left leg bitten,N,,,"J. Borg, p.75; L. Taylor (1993), pp.104-105"
1982.02.14.a,14-Feb-82,1982,Unprovoked,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",Swimming,F,,Right foot bitten,N,,,"J. Borg, p.75; L. Taylor (1993), pp.104-105"
1982.02.13,13-Feb-82,1982,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,75,Shark-bitten body found floating 1.5 miles offshore. Bruises suggested she may have been bitten by the shark before drowning,Y,Prior to 10h37,,"M. Vorenberg, GSAF"
1982.02.07.a,07-Feb-82,1982,Unprovoked,USA,California,"Stillwater Cove, Sonoma County",Scuba diving (submerged),M,,Calf & ankle bitten,N,11h00,5 m [16.5'] white shark,"R.N. Lea & D. Miller; R. Collier, p.86"
1982.02.07..b,07-Feb-82,1982,Unprovoked,USA,Florida,Elliot Key,Diving,M,29,"FATAL Disappeared while diving, bathing suit & diving gear recovered bore marks of shark's teeth",Y,,,"Miami Herald, 9/5/1982, p.1B"
1982.01.29,29-Jan-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpekeweni,Swimming,M,20,Right shin & toe lacerated,N,16h30,Raggedtooth shark,"J. Phillips-Page, M. Levine, GSAF"
1981.12.19,19-Dec-81,1981,Unprovoked,USA,California,"South Moss Beach, Spanish Bay, Monterey Peninsula",Surfing,M,24,"FATAL, torso bitten ",Y,Evening,7 m [23'] white shark,"R.N. Lea & D. Miller; R. Collier, pp.84-85; A. MacCormick, p.220"
1981.12.13.b,13-Dec-81,1981,Unprovoked,AUSTRALIA,Queensland,Green Island,,,,Abdomen lacerated,N,,,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
1981.12.13.a,13-Dec-81,1981,Unprovoked,USA,Hawaii,"Nimitz Beach, Barbers Point, O'ahu","Spearfishing, but swimming on surface",M,,Right leg severely bitten,N,,"Tiger shark, 3.7 m [12']","J. Borg, p.75; L. Taylor (1993), pp.104-105"
1981.10.19.b,19-Oct-81,1981,Provoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Inspecting teeth of supposedly dead (hooked & shot) shark,M,,Hand lacerated  PROVOKED INCIDENT,N,,"3.5 m [11.5'], 510-kg [1125-lb] hooked & shot white shark","M. Levine, GSAF"
1981.11.09,09-Nov-81,1981,Unprovoked,USA,Hawaii,"La'au Point, Moloka'i",Diving to untangle a crab trap line from boat's propeller,M,59,Hand bitten,N,,"2.1 m [7'] shark with ""a very flat head� that had followed the boat for 3 days","J. Borg, p.75; L. Taylor (1993), pp.104-105"
1981.10.19.a,19-Oct-81,1981,Unprovoked,USA,Florida,"Jupiter Island, Brevard County",Swimming,M,19,Hand & forearm bitten,N,11h30,1.8 m to 2.4 m [6' to 8'] shark,"Chronicle Telegram, 10/20/1981 "
1981.10.17,17-Oct-81,1981,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,,No details,UNKNOWN,09h45,,"M. Vorenberg, GSAF"
1981.10.16,16-Oct-81,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,17,Puncture wounds to left foot,N,,,"The Bulletin, 10/19/1981"
1981.10.01,01-Oct-81,1981,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,24,Laceration to right leg,N,,6' shark,"St. Petersburg Times, 10/3/1981"
1981.09.28,28-Sep-81,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,28,5 puncture marks to hip,N,18h00,,"St. Petersburg Times, 10/1/1981"
1981.09.27,27-Sep-81,1981,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,,,Lacerations to right hand,N,,,"Sarasota Herald-Tribune, 9/29/1981"
1981.09.15,15-Sep-81,1981,Unprovoked,USA,Florida,"Tampa Bay, Manatee County",Swimming,M,26,"FATAL, right calf bitten  ",Y,P.M.,Said to involve a tiger shark or a hammerhead shark,"S. Pelham, M.D.; NY Times, 9/21/1981, p.18, col.1; E. Pace, FSAF"
1981.09.03.b,03-Sep-81,1981,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,M,25,Lacerations to 2 fingers of left hand,N,12h00,,"St Petersburg Times, 9/5/1981"
1981.09.03.a,03-Sep-81,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,24,Laceration to foot,N,Morning,,"St Petersburg Times, 9/5/1981"
1981.08.29,29-Aug-81,1981,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Laceration to left ankle,N,,6' shark,"Pacific Stars and Stripes, 8/31/1981 "
1981.08.24.b,24-Aug-81,1981,Provoked,USA,Florida,Gulf Island National Seashore Park,Spearfishing,M,19,"Shot shark, then it bit him. Puncture wounds on leg  PROVOKED INCIDENT",N,,"1.8 m [6'] shark, species identity questionable","A. MacCormick, pp.82-83, citing the New Orleans Times-Picayune, 8/25/1981"
1981.08.24.a,24-Aug-81,1981,Invalid,USA,Hawaii,"Keaukaha, Hilo, Hawai'i",Fishing,M,,Disappeared while fishing from shore. Leg found 7 days later wedged in rocks 150 yards offshore,Y,,Shark involvement prior to death remains unconfirmed,"J. Borg, p.75; L. Taylor (1993), pp.104-105"
1981.08.10.b,10-Aug-81,1981,Unprovoked,USA,Florida,"Marathon, Monroe County",Diving,M,,Bite to face,N,,small nurse shark,"E. Pace, FSAF"
1981.08.10.a,10-Aug-81,1981,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County","16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",F,19,FATAL,Y,Daybreak,,"E. Pace, GSAF; J. McAniff, SAF; A. MacCormick, pp.12 & 13; Orlando Sentinel, 12/6/1985; K Duffy, Daytona Beach News Journal, 8/26/2001"
1981.07.20,20-Jul-81,1981,Unprovoked,USA,Florida,"St. Petersburg Beach, Pinellas County",Swimming,F,16,"Foot bitten between arch & big toe, no stitches required",N,,"""sandshark""","E. Pace, GSAF"
1981.07.18,18-Jul-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,32,7 lacerations to right foot,N,10h15,Possibly a  1.8 m [6'] Zambezi shark,"B. V.D. Helm; R. Horn; M. Levine, GSAF"
1981.07.07,07-Jul-81,1981,Unprovoked,USA,Florida,Carter Cay,Spearfishing,M,,Left foot & ankle lacerated,N,18h10,2.4 m [8'] shark,"E. Pace, GSAF"
1981.07.01,01-Jul-81,1981,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Clansthal,Catching sardines,M,,Laceration to calf,N,,"""gray shark""","Chronicle Telegram, 7/1/1981"
1981.06.12,12-Jun-81,1981,Invalid,USA,Hawaii,"Honoli'i Pali, Hilo Bay ('Alae Point), Hawai'i",,M,,"Probable drowning, 1/3 of shark-multilated body recovered",Y,,1.2 m [4'] shark hindered recovery of body,"J. Borg, p.74; L. Taylor (1993), pp.104-105"
1981.05.24,24-May-81,1981,Unprovoked,USA,Hawaii,"Ha'ena Beach Park, Kaua'i","Scuba diving, reportedly also spearfishing",M,,"FATAL, disappeared, dive gear & shredded tooth-marked wetsuit were recovered",Y,,,"J. Borg, p.87; L. Taylor (1993), pp.104-105"
1981.05.20,20-May-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,27,"Shark & board collided. No injury, but board was dented",N,08h30,Raggedtooth shark,"M. Jury, M. Levine, GSAF"
1981.05.19,19-May-81,1981,Unprovoked,USA,Florida,"Sands Cut, Elliot Key",Free diving,M,32,Massive tissue damage of left arm,N,,,J. McAniff; Miami Herald 5/22/1981
1981.05.16,16-May-81,1981,Unprovoked,USA,Florida,"Jacksonville, Duval County",Diving,M,,Left arm bitten,N,,Lemon shark,"E. Pace, FSAF"
1981.05.10,10-May-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,King�s Beach,Surfing,M,19,"No Injury, board bitten",N,14h45,"Raggedtooth shark, 2.5 m [8.25'] ","M. Smale, PE Museum"
1981.05.05,05-May-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyane Bay,Surfing,M,24,"Left leg bitten, surgically amputated",N,09h00,"Tiger shark, 2.1 m [7']","S. Hammerton, M. Levine, GSAF; W. Pople,  G. Charter, NSB"
1981.03.25,25-Mar-81,1981,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Standing / Wading,M,19,"Lacerations on calf, ankle & heel",N,15h00,"1.2 m to 1.5 m [4' to 5'] bull, sandbar or dusky shark",M. Vorenberg
1981.03.24,24-Mar-81,1981,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,M,24,Puncture wounds on  right thigh,N,17h30,C. maculpinnis or C. limbatus,M. Vorenberg
1981.02.19,19-Feb-81,1981,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Swimming,M,30,Foot lacerated,N,17h20,Juvenile dusky or blacktip shark,"R. Guy, M. Levine, GSAF"
1981.02.16,16-Feb-81,1981,Unprovoked,AUSTRALIA,Western Australia,"Leighton Beach, north of Freemantle",Exercising his dog in the shallows,M,,Puncture wounds to foot,N,,1 m hammerhead shark,"A. Sharpe, p.134"
1981.02.07,07-Feb-81,1981,Unprovoked,AUSTRALIA,Western Australia,"Parker's Point, Rottnest Island",,,,No details,UNKNOWN,,,"T. Peake, GSAF"
1981.02.02,02-Feb-81,1981,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,15,Lacerations & punctures in left calf & ankle,N,13h30,1.8 m to 2.4 m [6' to 8'] hammerhead shark,M. Vorenberg
1981.01.30,30-Jan-81,1981,Unprovoked,USA,Florida,20 miles from Mayport,Commercial spearfishing,M,25,3 small punctures in scalp & ripped nostril,N,,Tiger shark,J. McAniff
1981.01.01,01-Jan-81,1981,Invalid,SOUTH AFRICA,KwaZulu-Natal,Widenham,Swimming,M,23,Probable drowning & scavenging,Y,,"Tiger shark, 1.5 m [5']k","W.O. Hutt; W. Pople, G. Charter, B. Davis, Natal Sharks Board"
1981.00.00.b,1981,1981,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,M,27,"No injury, ski bitten",N,07h00,"Tiger shark, 2.5 m ","Sunday Mail (QLD), 9/6/1987, p.10"
1980.12.30,12-30-1980,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Paddleskiing,M,25,"No injury, paddleski bitten",N,17h15,3.5 m [11.5'] shark,"N. Yates, M. Levine, GSAF"
1980.12.26,26-Dec-80,1980,Invalid,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,,,,Probable drowning & scavenging,Y,,,"Eastern Province Herald, 12/29/1980"
1980.11.18,18-Nov-80,1980,Unprovoked,AUSTRALIA,Western Australia,Lancelin,Swimming,M,,"Right shoulder bitten, puncture wounds on chest & lacerations on his back",N,,,"A. Sharpe, pp.133-134"
1980.11.17,17-Nov-80,1980,Invalid,SOUTH AFRICA,KwaZulu-Natal,Mnini,Swimming,M,,Probable  drowning & scavenging,Y,,,"W.O. Hutt;  G. Charter, B. Davis, Natal Sharks Board"
1980.10.17,17-Oct-80,1980,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,M,19,No injury,N,09h30,4 m to 5 m [13' to 16.5'] white shark,"R. N. Lea & D. Miller; R. Collier, pp.82-83"
1980.08.04,04-Aug-80,1980,Unprovoked,USA,Hawaii,"Puamana, Lahaina, Maui",Resting on body board,M,,Torso bitten,N,,"Tiger shark, 4.3 m [14'] ","J. Borg, p.75; L. Taylor (1993), pp.104-105 - Note: SAF lists this as 8/10/1980"
1980.07.00,Early Jul-1980,1980,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,Lower leg bitten,N,,,"Daytona Beach Morning Journal, 7/9/1980"
1980.06.26,26-Jun-80,1980,Provoked,USA,California,"Off San Clemente Island, Los Angeles County",Scuba diving,F,44,Laceration to lower leg   PROVOKED INCIDENT,N,,Blue shark,"The Australian Women's Weekly, 10/1/1980"
1980.05.15,15-May-80,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Fuller�s Bay,Surfing,M,22,"No injury, board bitten",N,08h00,1.8 m [6'] shark,"C. Vernon, G. Ross, P.E. Museum; M. Levine, GSAF"
1980.03.29,29-Mar-80,1980,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umdhloti,Free diving,M,52,FATAL,Y,,Tiger shark,"W. Pople, G. Charter, B. Davis, Natal Sharks Board"
1980.03.11,11-Mar-80,1980,Provoked,SOUTH AFRICA,Western Cape Province,Velddrif,Fishing,M,61,Leg lacerated by netted shark PROVOKED INCIDENT,N,,1.5 m [5'] hammerhead shark,"F.M. Binneman, P. Logan, M. Levine, GSAF"
1980.01.31,31-Jan-80,1980,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Ballito,Body boarding,M,24,"Both hands & heel of left foot lacerated, right foot severed",N,14h45,"2.8 m [9'3""] white shark","M. Levine, GSAF; W. Pople, G. Charter, B. Davis, NSB; T. Wallett, p.60"
1980.01.15,15-Jan-80,1980,Provoked,SOUTH AFRICA,KwaZulu-Natal,Anstey�s,Spearfishing,M,29,"No injury, rammed & catapulted from the water by shark after he shot at it & missed PROVOKED INCIDENT",N,05h00,"2 m [6'9""] Zambesi shark","L. Winkworth, M. Levine, GSAF"
1980.01.13,13-Jan-80,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Sardinia Bay,Swimming,M,,Abrasion,N,,Hammerhead shark,"Eastern Province Herald, 1/17/1980, M. Levine, GSAF"
1980.01.10,10-Jan-80,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,King�s Beach,Swimming,M,25,3 small punctures on arm,N,18h30,"Raggedtooth shark, 2 m [6'9""] ",M. Smale
1980.00.00.b,1980,1980,Invalid,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Spearfishing,M,20,No injury; shark made threat display and impaled itself on spear,N,Early afternoon,"2 m [6'9""] shark","P. Sachs, M. Levine, GSAF"
1979.12.21,21-Dec-79,1979,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kenton-on-Sea,Swimming,M,18,Shin lacerated,N,16h20,,"M. Bowker; W. Pople, NSB"
1979.11.12,12-Nov-79,1979,Provoked,SOUTH AFRICA,Western Cape Province,Macassar,Shark fishing,,,"No injury to occupants; hooked shark tore out part of transom, bit skeg of motor and snapped the steel trace PROVOKED INCIDENT",N,,"White shark, 5 m ",GSAF
1979.10.22,22-Oct-79,1979,Provoked,SOUTH AFRICA,Eastern Cape Province,Algoa Bay,Fishing,M,,Bitten below right knee by hooked shark pulled onboard skiboat PROVOKED INCIDENT,N,,"Raggedtooth shark, 50-kg [110-lb], 2 m [6.75'] gaffed ",GSAF
1979.09.14,14-Sep-79,1979,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Scuba diving,M,18,Leg bitten,N,,"""a small shark""","Canberra Times, 9/15/1979"
1979.08.05,05-Aug-79,1979,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Kayaking,M,49,Lacerations to foot,N,,,"Sarasota Herald Tribune, 8/9/1979"
1979.06.19,19-Jun-79,1979,Sea Disaster,USA,Florida,10 miles off Cape Canaveral,Floating with life preserver after his boat foundered,M,56,Lacerations to leg,N,Morning,,"Troy Record, 6/21/1979"
1979.05.27,27-May-79,1979,Invalid,USA,Florida,"Fort Walton Beach, Okaloosa County",Scuba diving,M,36,"FATAL, but shark involvement prior to death was not determined",Y,,,"Post Standard, 5/29/1979, p.3"
1979.05.05,05-May-79,1979,Provoked,SOUTH AFRICA,Western Cape Province,"Hangklip, False Bay",Spearfishing,M,25,Shark rammed diver after he shot it in the head  PROVOKED INCIDENT,N,14h00,"White shark, 2.5 m [8.25']  ",Dr. P. Landsberg
1979.05.03,03-May-79,1979,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mbibi,Scuba diving,M,,"FATAL (presumed), pieces of shark-bitten wetsuit washed ashore but no body was recovered",Y,>12h00,,"W. Pople, G. Charter, B. Davis, NSB"
1979.04.08.b,08-Apr-79,1979,Unprovoked,USA,Florida,"Public Beach (Carlin Park), Jupiter, Palm Beach County",Swimming,M,24,Right foot & ankle lacerated,N,13h20,,"M. Vorenberg, GSAF"
1979.04.08.a,08-Apr-79,1979,Unprovoked,USA,Florida,"Municipal Beach, Boyton Beach, Palm Beach County",Body surfing,M,8,Right foot bitten,N,10h30,,"M. Vorenberg, GSAF"
1979.03.24,24-Mar-79,1979,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,M,27,Foot & ankle bitten,N,11h30,Blacktip or spinner shark,"M. Vorenberg, GSAF"
1979.03.11,11-Mar-79,1979,Unprovoked,USA,California,"Ano Nuevo Island, San Mateo, County",Scuba diving (submerged),M,,"No injury, swim fin bitten",N,10h00,"White shark, 4 m to 5 m [13' to 16.5'] ","D. Miller & R. Collier, R. Collier, p.76"
1979.03.01,01-Mar-79,1979,Boat,SOUTH AFRICA,Western Cape Province,Seal Island,,,,No Injury,N,,,GSAF
1979.02.21,21-Feb-79,1979,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,"Surfing, collided with shark",M,19,Punctures on left thigh,N,13h15,1.5 m to 2 m [5' to 6.75'] shark,"C. Kantor,  Dr. Macrae, M. Levine, GSAF; G. Charter, NSB"
1979.00.00,1979,1979,Unprovoked,USA,Hawaii,"South Kohala, Hawai'i",Fishing,M,,"FATAL, disappeared while fishing from shore, divers recovered his hand",Y,,,"J. Borg, p.74; L. Taylor (1993), pp.104-105"
1978.12.29,29-Dec-78,1978,Unprovoked,AUSTRALIA,Queensland,Bribie Island,,M, ,Survived,N,,,"R. McKenzie, Sunday Mail, 9/6/1987, p.11"
1978.12.12,12-Dec-78,1978,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,M,23,"FATAL, legs bitten ",Y,16h45,"White shark, 2.3 m [7.5'], tooth fragment recovered","M. Levine, GSAF; W. Pople, G. Charter, NSB; Dr. Marais; T. Wallett, pp.57-58"
